,RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
215,10,Boston Celtics,82,19780,43.0,88.8,0.484,1.6,5.7,0.29,41.3,83.1,0.49700000000000005,22.0,28.4,0.7759999999999999,13.0,27.5,40.4,26.3,9.4,4.8,14.7,24.1,109.6,1989
216,11,Miami Heat,82,19855,41.3,84.5,0.488,1.8,5.3,0.34299999999999997,39.5,79.3,0.498,24.7,31.9,0.773,14.5,28.9,43.4,25.2,11.3,6.7,18.8,22.3,109.0,1989
217,12,Seattle SuperSonics,82,19780,41.7,85.7,0.486,2.0,6.6,0.311,39.6,79.1,0.501,23.2,30.2,0.769,14.4,27.3,41.7,23.7,8.1,5.0,18.8,22.8,108.6,1989
218,13,New Jersey Nets,82,19805,43.1,86.7,0.49700000000000005,1.9,6.2,0.309,41.2,80.5,0.512,21.2,27.7,0.765,12.5,30.0,42.5,25.8,9.0,5.9,16.7,22.2,109.3,1989
219,14,Philadelphia 76ers,82,19780,45.0,89.8,0.501,2.1,6.1,0.34299999999999997,43.0,83.7,0.513,19.3,24.9,0.774,14.1,29.7,43.9,28.1,7.9,5.5,15.6,24.4,111.5,1989
220,15,Washington Bullets,82,19855,41.8,86.7,0.48200000000000004,1.9,6.1,0.304,39.9,80.6,0.495,23.1,30.1,0.769,13.6,30.4,44.0,25.0,7.9,6.3,16.6,23.0,108.5,1989
221,16,Phoenix Suns,82,19755,41.7,89.9,0.46399999999999997,2.1,6.6,0.319,39.6,83.3,0.475,20.2,26.8,0.753,14.6,28.6,43.1,25.2,7.3,5.0,15.9,23.9,105.7,1989
222,17,Sacramento Kings,82,19780,43.3,89.6,0.484,2.2,6.9,0.316,41.2,82.7,0.498,21.1,27.8,0.759,14.1,31.4,45.6,25.4,9.2,5.3,15.5,22.0,110.0,1989
223,18,Indiana Pacers,82,19855,42.1,90.2,0.467,2.0,6.7,0.305,40.0,83.5,0.479,24.8,31.8,0.7809999999999999,15.7,28.2,43.9,24.8,10.2,4.7,14.7,24.7,111.0,1989
224,19,San Antonio Spurs,82,19755,40.7,83.4,0.488,2.0,6.2,0.32299999999999995,38.7,77.2,0.501,24.6,31.7,0.7759999999999999,14.7,28.7,43.4,24.1,10.7,6.4,20.2,22.6,107.9,1989
225,20,New York Knicks,82,19805,42.2,85.4,0.494,1.8,6.2,0.285,40.4,79.2,0.511,21.3,27.7,0.767,14.1,27.0,41.1,26.6,9.0,5.0,19.6,22.0,107.5,1989
226,21,Charlotte Hornets,82,19780,43.0,86.1,0.5,1.4,4.8,0.28800000000000003,41.6,81.2,0.512,24.7,31.8,0.7759999999999999,14.4,31.7,46.1,24.9,8.6,5.3,17.2,21.7,112.1,1989
227,22,Portland Trail Blazers,82,19830,41.6,85.3,0.488,2.3,6.4,0.363,39.3,78.9,0.498,22.5,29.2,0.772,13.4,27.8,41.3,24.1,8.6,4.2,18.3,22.8,108.0,1989
228,23,Los Angeles Clippers,82,19855,43.4,89.6,0.484,2.3,6.7,0.342,41.1,82.9,0.496,21.2,27.8,0.764,15.5,29.5,45.0,27.6,10.8,6.4,16.7,21.8,110.2,1989
229,24,Denver Nuggets,82,19880,41.6,84.0,0.495,1.8,5.0,0.35200000000000004,39.8,79.0,0.504,22.2,30.1,0.737,12.8,32.2,44.9,24.0,7.5,5.4,17.9,22.5,107.1,1989
230,25,Golden State Warriors,82,19905,41.5,89.9,0.462,3.2,9.2,0.342,38.3,80.7,0.475,21.5,28.1,0.7659999999999999,16.1,29.7,45.8,24.9,9.7,5.4,17.5,21.7,107.7,1989
231,1,Detroit Pistons,82,19805,39.1,87.4,0.447,2.4,7.2,0.33299999999999996,36.7,80.3,0.457,22.9,30.1,0.762,13.4,29.3,42.6,22.7,7.8,3.9,16.0,26.6,103.5,1990
232,2,Minnesota Timberwolves,82,19855,40.9,84.8,0.48200000000000004,1.7,5.2,0.33,39.2,79.6,0.49200000000000005,24.7,32.1,0.768,13.9,30.8,44.8,25.0,7.7,6.5,18.1,23.2,108.2,1990
233,3,Utah Jazz,82,19830,39.9,87.5,0.455,2.2,7.1,0.309,37.7,80.4,0.46799999999999997,23.5,30.9,0.7609999999999999,13.9,27.8,41.7,23.7,9.3,5.7,15.6,24.1,105.4,1990
234,4,Dallas Mavericks,82,19855,42.1,89.7,0.469,2.2,7.5,0.298,39.8,82.2,0.484,20.8,27.6,0.753,14.6,30.7,45.3,25.1,8.3,5.0,15.8,23.4,107.2,1990
235,5,San Antonio Spurs,82,19730,40.4,87.6,0.461,2.9,7.7,0.37,37.5,79.9,0.47,20.5,26.8,0.767,13.9,27.7,41.6,24.3,9.4,5.1,17.5,23.7,104.2,1990
236,6,Cleveland Cavaliers,82,19880,43.4,90.7,0.479,2.0,6.4,0.312,41.5,84.3,0.49200000000000005,18.4,24.1,0.7609999999999999,14.4,31.2,45.6,27.2,8.6,4.8,16.4,24.1,107.2,1990
237,7,Los Angeles Lakers,82,19855,42.4,91.0,0.467,2.2,6.5,0.337,40.3,84.4,0.47700000000000004,19.9,26.5,0.75,14.2,28.2,42.3,25.2,8.4,5.3,15.1,24.0,107.0,1990
238,8,Philadelphia 76ers,82,19805,42.9,89.4,0.48,2.7,7.2,0.37,40.2,82.2,0.49,19.9,25.8,0.7709999999999999,14.0,29.6,43.6,27.1,8.0,4.8,15.5,24.4,108.4,1990
239,9,Houston Rockets,82,19805,40.7,87.7,0.46399999999999997,2.0,6.7,0.293,38.8,81.1,0.478,20.0,27.0,0.741,14.1,29.5,43.5,24.1,9.5,4.7,17.1,21.8,103.4,1990
240,10,Seattle SuperSonics,82,19905,41.2,84.8,0.486,2.3,6.6,0.342,38.9,78.2,0.498,25.2,32.0,0.7859999999999999,12.7,27.9,40.6,23.6,8.0,5.1,16.5,22.7,109.8,1990
241,11,Boston Celtics,82,19705,42.7,91.6,0.466,2.1,6.7,0.319,40.5,84.9,0.47700000000000004,20.4,26.5,0.773,13.0,28.8,41.7,25.8,9.1,4.4,12.4,22.9,107.9,1990
242,12,Chicago Bulls,82,19830,42.1,85.3,0.493,2.6,7.3,0.35100000000000003,39.5,78.0,0.506,22.3,29.9,0.746,13.4,28.7,42.1,26.4,8.3,4.8,17.7,21.8,109.0,1990
243,13,Milwaukee Bucks,82,19830,40.6,84.8,0.479,2.2,7.0,0.321,38.4,77.9,0.493,24.6,31.7,0.774,14.3,29.7,44.0,25.0,8.5,5.5,18.6,23.2,108.1,1990
244,14,Sacramento Kings,82,19755,42.5,89.9,0.473,2.0,6.4,0.316,40.5,83.6,0.485,23.0,29.2,0.787,14.4,31.8,46.2,25.4,8.8,4.9,14.7,21.9,110.0,1990
245,15,New York Knicks,82,19830,43.1,91.6,0.47100000000000003,2.1,6.7,0.315,41.0,84.9,0.483,19.7,25.9,0.7609999999999999,15.4,28.2,43.5,26.2,8.9,5.2,15.9,23.0,108.0,1990
246,16,Los Angeles Clippers,82,19805,41.9,88.1,0.47600000000000003,2.3,7.0,0.32299999999999995,39.7,81.0,0.49,21.2,27.5,0.772,14.0,28.9,43.0,25.6,10.1,5.2,16.7,23.8,107.4,1990
