RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
27,Memphis Grizzlies,82,19805,42.1,90.7,0.464,5.5,15.5,0.353,36.6,75.2,0.487,16.7,22.5,0.741,12.8,34.1,46.9,24.2,8.5,5.1,15.2,21.1,106.3,2014
28,Milwaukee Bucks,82,19880,38.8,88.6,0.438,7.2,20.4,0.353,31.6,68.2,0.464,18.1,24.2,0.747,12.8,31.6,44.3,23.2,7.1,5.3,16.3,22.5,103,2014
29,Utah Jazz,82,19780,39.2,88.3,0.444,7.2,20.9,0.344,32,67.4,0.474,17.9,23.9,0.747,12,32.9,44.9,22.1,7.6,4.9,15.9,22.6,103.5,2014
30,Chicago Bulls,82,19930,38,87.8,0.432,6.8,19.5,0.348,31.2,68.3,0.456,19.8,25.5,0.779,12.5,35.8,48.3,24.8,7.9,5.7,16.3,20.9,102.5,2014
1,Golden State Warriors,82,19730,42.2,88.3,0.478,10.9,27.4,0.398,31.3,60.9,0.514,16.3,21.2,0.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,111.6,2015
2,Los Angeles Clippers,82,19730,41.5,87.7,0.473,10.6,28.3,0.376,30.8,59.4,0.519,18.9,26.5,0.71,10.1,34.8,44.9,26.1,8.2,5.3,13,22.5,112.4,2015
3,Dallas Mavericks,82,19880,41.3,89.3,0.463,9.3,26.4,0.352,32,62.8,0.509,17.6,23.4,0.752,10.9,33.1,44,23.4,8.4,4.7,13.5,20.9,109.5,2015
4,Toronto Raptors,82,19855,40.5,88.9,0.455,9.5,26.8,0.352,31,62.1,0.499,20.6,26.2,0.787,11.5,32.9,44.4,22.1,8,4.6,13.8,22.3,111,2015
5,Oklahoma City Thunder,82,19830,40.3,90,0.447,8,23.6,0.339,32.3,66.4,0.486,19.3,25.5,0.754,13.3,36,49.3,21.3,7.6,5.7,15.2,23.1,107.8,2015
6,Houston Rockets,82,19805,38.1,85.8,0.444,11.7,33.6,0.348,26.3,52.1,0.506,19.1,26.8,0.715,12,32.9,45,22.8,9.8,5.1,17.1,22.6,107,2015
